Voltage, Current 
0, 8 
0, 8 
0, 8 
0, 8 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 0 
30029, 1104 
30029, 1104 
30029, 1104 
30029, 1104 
30029, 1104 
30031, 999 
30031, 999 
30031, 999 
30031, 999 
30031, 999 
30028, 994 
30028, 994 
30028, 994 
30028, 994 
30028, 994 
30028, 989 
30028, 989 
30028, 989 
30028, 989 
30028, 989 
30028, 1087 
30028, 1087 
30028, 1087 
30028, 1087 
30028, 1087 
30025, 1038 
30025, 1038 
30025, 1038 
30025, 1038 
30025, 1038 
30018, 988 
30018, 988 
30018, 988 
30018, 988 
30018, 988 
30018, 989 
30018, 989 
30018, 989 
30018, 989 
30018, 989 
30018, 1008 
30018, 1008 
30018, 1008 
30018, 1008 
30018, 1008 
30018, 1044 
30018, 1044 
30018, 1044 
30018, 1044 
30018, 1044 
30016, 1165 
30016, 1165 
30016, 1165 
30016, 1165 
30016, 1165 
30009, 1156 
30009, 1156 
30009, 1156 
30009, 1156 
30009, 1156 
30008, 1260 
30008, 1260 
30008, 1260 
30008, 1260 
30008, 1260 
30008, 1164 
30008, 1164 
30008, 1164 
30008, 1164 
30008, 1164 
30008, 1173 
30008, 1173 
30008, 1173 
30008, 1173 
30008, 1173 
29860, 6996 
29860, 6996 
29860, 6996 
29860, 6996 
29860, 6996 
27249, 118988 
27249, 118988 
27249, 118988 
27249, 118988 
27249, 118988 
27214, 93769 
27214, 93769 
27214, 93769 
27214, 93769 
27214, 93769 
28684, 24519 
28684, 24519 
28684, 24519 
28684, 24519 
28684, 24519 
28930, 20525 
28930, 20525 
28930, 20525 
28930, 20525 
28930, 20525 
29095, 15652 
29095, 15652 
29095, 15652 
29095, 15652 
29095, 15652 
29196, 13452 
29196, 13452 
29196, 13452 
29196, 13452 
29196, 13452 
29350, 7168 
29350, 7168 
29350, 7168 
29350, 7168 
29350, 7168 
29311, 10781 
29311, 10781 
29311, 10781 
29311, 10781 
29311, 10781 
29011, 24358 
29011, 24358 
29011, 24358 
29011, 24358 
29011, 24358 
29124, 16357 
29124, 16357 
29124, 16357 
29124, 16357 
29124, 16357 
29070, 19335 
29070, 19335 
29070, 19335 
29070, 19335 
29070, 19335 
29068, 17845 
29068, 17845 
29068, 17845 
29068, 17845 
29068, 17845 
29077, 20752 
29077, 20752 
29077, 20752 
29077, 20752 
29077, 20752 
29203, 7531 
29203, 7531 
29203, 7531 
29203, 7531 
29203, 7531 
29226, 8988 
29226, 8988 
29226, 8988 
29226, 8988 
29226, 8988 
29208, 10721 
29208, 10721 
29208, 10721 
29208, 10721 
29208, 10721 
29207, 10577 
29207, 10577 
29207, 10577 
29207, 10577 
29207, 10577 
29233, 8780 
29233, 8780 
29233, 8780 
29233, 8780 
29233, 8780 
29269, 7177 
29269, 7177 
29269, 7177 
29269, 7177 
29269, 7177 
29333, 4045 
29333, 4045 
29333, 4045 
29333, 4045 
29333, 4045 
29300, 6390 
29300, 6390 
29300, 6390 
29300, 6390 
29300, 6390 
29350, 3698 
29350, 3698 
29350, 3698 
29350, 3698 
29350, 3698 
29365, 3484 
29365, 3484 
29365, 3484 
29365, 3484 
29365, 3484 
29333, 5340 
29333, 5340 
29333, 5340 
29333, 5340 
29333, 5340 
29324, 5405 
29324, 5405 
29324, 5405 
29324, 5405 
29324, 5405 
29325, 4938 
29325, 4938 
29325, 4938 
29325, 4938 
29325, 4938 
29341, 3756 
29341, 3756 
29341, 3756 
29341, 3756 
29341, 3756 
29364, 2995 
29364, 2995 
29364, 2995 
29364, 2995 
29364, 2995 
29394, 1750 
29394, 1750 
29394, 1750 
29394, 1750 
29394, 1750 
29395, 2077 
29395, 2077 
29395, 2077 
29395, 2077 
29395, 2077 
28993, 22892 
28993, 22892 
28993, 22892 
28993, 22892 
28993, 22892 
29144, 8581 
29144, 8581 
29144, 8581 
29144, 8581 
29144, 8581 
29237, 5277 
29237, 5277 
29237, 5277 
29237, 5277 
29237, 5277 
29200, 7698 
29200, 7698 
29200, 7698 
29200, 7698 
29200, 7698 
29217, 6602 
29217, 6602 
29217, 6602 
29217, 6602 
29217, 6602 
29226, 6156 
29226, 6156 
29226, 6156 
29226, 6156 
29226, 6156 
29196, 7491 
29196, 7491 
29196, 7491 
29196, 7491 
29196, 7491 
29193, 6760 
29193, 6760 
29193, 6760 
29193, 6760 
29193, 6760 
29217, 5690 
29217, 5690 
29217, 5690 
29217, 5690 
29217, 5690 
29260, 3366 
29260, 3366 
29260, 3366 
29260, 3366 
29260, 3366 
29292, 2097 
29292, 2097 
29292, 2097 
29292, 2097 
29292, 2097 
29315, 1262 
29315, 1262 
29315, 1262 
29315, 1262 
29315, 1262 
29326, 1217 
29326, 1217 
29326, 1217 
29326, 1217 
29326, 1217 
29326, 1332 
29326, 1332 
29326, 1332 
29326, 1332 
29326, 1332 
29336, 1325 
29336, 1325 
29336, 1325 
29336, 1325 
29336, 1325 
29292, 3880 
29292, 3880 
29292, 3880 
29292, 3880 
29292, 3880 
29215, 7123 
29215, 7123 
29215, 7123 
29215, 7123 
29215, 7123 
28742, 30855 
28742, 30855 
28742, 30855 
28742, 30855 
28742, 30855 
28894, 16223 
28894, 16223 
28894, 16223 
28894, 16223 
28894, 16223 
29102, 4710 
29102, 4710 
29102, 4710 
29102, 4710 
29102, 4710 
29161, 2923 
29161, 2923 
29161, 2923 
29161, 2923 
29161, 2923 
29134, 5707 
29134, 5707 
29134, 5707 
29134, 5707 
29134, 5707 
29095, 7680 
29095, 7680 
29095, 7680 
29095, 7680 
29095, 7680 
29103, 6432 
29103, 6432 
29103, 6432 
29103, 6432 
29103, 6432 
29096, 6757 
29096, 6757 
29096, 6757 
29096, 6757 
29096, 6757 
29084, 7169 
29084, 7169 
29084, 7169 
29084, 7169 
29084, 7169 
29064, 7944 
29064, 7944 
29064, 7944 
29064, 7944 
29064, 7944 
29063, 6563 
29063, 6563 
29063, 6563 
29063, 6563 
29063, 6563 
29126, 3426 
29126, 3426 
29126, 3426 
29126, 3426 
29126, 3426 
29120, 4411 
29120, 4411 
29120, 4411 
29120, 4411 
29120, 4411 
29075, 6938 
29075, 6938 
29075, 6938 
29075, 6938 
29075, 6938 
29014, 9330 
29014, 9330 
29014, 9330 
29014, 9330 
29014, 9330 
28991, 9086 
28991, 9086 
28991, 9086 
28991, 9086 
28991, 9086 
28963, 9948 
28963, 9948 
28963, 9948 
28963, 9948 
28963, 9948 
28933, 10691 
28933, 10691 
28933, 10691 
28933, 10691 
28933, 10691 
28940, 9376 
28940, 9376 
28940, 9376 
28940, 9376 
28940, 9376 
28963, 7599 
28963, 7599 
28963, 7599 
28963, 7599 
28963, 7599 
29014, 5067 
29014, 5067 
29014, 5067 
29014, 5067 
29014, 5067 
29048, 3783 
29048, 3783 
29048, 3783 
29048, 3783 
29048, 3783 
29048, 4154 
29048, 4154 
29048, 4154 
29048, 4154 
29048, 4154 
29033, 4698 
29033, 4698 
29033, 4698 
29033, 4698 
29033, 4698 
28985, 7039 
28985, 7039 
28985, 7039 
28985, 7039 
28985, 7039 
28966, 7537 
28966, 7537 
28966, 7537 
28966, 7537 
28966, 7537 
28895, 10761 
28895, 10761 
28895, 10761 
28895, 10761 
28895, 10761 
28846, 11811 
28846, 11811 
28846, 11811 
28846, 11811 
28846, 11811 
28823, 11728 
28823, 11728 
28823, 11728 
28823, 11728 
28823, 11728 
28803, 11617 
28803, 11617 
28803, 11617 
28803, 11617 
28803, 11617 
28842, 8567 
28842, 8567 
28842, 8567 
28842, 8567 
28842, 8567 
28832, 9443 
28832, 9443 
28832, 9443 
28832, 9443 
28832, 9443 
28823, 9397 
28823, 9397 
28823, 9397 
28823, 9397 
28823, 9397 
28822, 8995 
28822, 8995 
28822, 8995 
28822, 8995 
28822, 8995 
28804, 9698 
28804, 9698 
28804, 9698 
28804, 9698 
28804, 9698 
28769, 10724 
28769, 10724 
28769, 10724 
28769, 10724 
28769, 10724 
28771, 9789 
28771, 9789 
28771, 9789 
28771, 9789 
28771, 9789 
28763, 9580 
28763, 9580 
28763, 9580 
28763, 9580 
28763, 9580 
28743, 10222 
28743, 10222 
28743, 10222 
28743, 10222 
28743, 10222 
28714, 10658 
28714, 10658 
28714, 10658 
28714, 10658 
28714, 10658 
28719, 10077 
28719, 10077 
28719, 10077 
28719, 10077 
28719, 10077 
28726, 9112 
28726, 9112 
28726, 9112 
28726, 9112 
28726, 9112 
28698, 10420 
28698, 10420 
28698, 10420 
28698, 10420 
28698, 10420 
28678, 10778 
28678, 10778 
28678, 10778 
28678, 10778 
28678, 10778 
28645, 11776 
28645, 11776 
28645, 11776 
28645, 11776 
28645, 11776 
28628, 11808 
28628, 11808 
28628, 11808 
28628, 11808 
28628, 11808 
28615, 11724 
28615, 11724 
28615, 11724 
28615, 11724 
28615, 11724 
28596, 11968 
28596, 11968 
28596, 11968 
28596, 11968 
28596, 11968 
28586, 11925 
28586, 11925 
28586, 11925 
28586, 11925 
28586, 11925 
28565, 11798 
28565, 11798 
28565, 11798 
28565, 11798 
28565, 11798 
28600, 9404 
28600, 9404 
28600, 9404 
28600, 9404 
28600, 9404 
28647, 6629 
28647, 6629 
28647, 6629 
28647, 6629 
28647, 6629 
28664, 6489 
28664, 6489 
28664, 6489 
28664, 6489 
28664, 6489 
28648, 7463 
28648, 7463 
28648, 7463 
28648, 7463 
28648, 7463 
28638, 8055 
28638, 8055 
28638, 8055 
28638, 8055 
28638, 8055 
28624, 8102 
28624, 8102 
28624, 8102 
28624, 8102 
28624, 8102 
28584, 9967 
28584, 9967 
28584, 9967 
28584, 9967 
28584, 9967 
28549, 10863 
28549, 10863 
28549, 10863 
28549, 10863 
28549, 10863 
28536, 10318 
28536, 10318 
28536, 10318 
28536, 10318 
28536, 10318 
28541, 9587 
28541, 9587 
28541, 9587 
28541, 9587 
28541, 9587 
28545, 8890 
28545, 8890 
28545, 8890 
28545, 8890 
28545, 8890 
28517, 10022 
28517, 10022 
28517, 10022 
